id_dat,value,crep_id,create_date
1,18,14,2023-08-24 15:02:31
2,164,14,2023-08-24 15:02:31
3,96,14,2023-08-24 15:02:31
4,333,14,2023-08-24 15:02:31
5,666,14,2023-08-24 15:02:31
6,326,14,2023-08-24 15:02:31
7,218,14,2023-08-24 15:02:31
8,496,14,2023-08-24 15:02:31
9,542,14,2023-08-24 15:02:31
10,193,14,2023-08-24 15:02:31
11,111,14,2023-08-24 15:02:31
12,72,14,2023-08-24 15:02:31
13,10,14,2023-08-24 15:02:31
14,707,14,2023-08-24 15:02:31
15,887,14,2023-08-24 15:02:31
1,218,14,2023-08-24 15:02:32
2,204,14,2023-08-24 15:02:32
3,104,14,2023-08-24 15:02:32
4,298,14,2023-08-24 15:02:32
5,380,14,2023-08-24 15:02:32
6,184,14,2023-08-24 15:02:32
7,113,14,2023-08-24 15:02:32
8,896,14,2023-08-24 15:02:32
9,493,14,2023-08-24 15:02:32
10,359,14,2023-08-24 15:02:32
11,837,14,2023-08-24 15:02:32
12,243,14,2023-08-24 15:02:32
13,924,14,2023-08-24 15:02:32
14,335,14,2023-08-24 15:02:32
15,456,14,2023-08-24 15:02:32
1,45,14,2023-08-24 15:02:32
2,148,14,2023-08-24 15:02:32
3,269,14,2023-08-24 15:02:32
4,139,14,2023-08-24 15:02:32
5,454,14,2023-08-24 15:02:32
6,409,14,2023-08-24 15:02:32
7,501,14,2023-08-24 15:02:32
8,405,14,2023-08-24 15:02:32
9,793,14,2023-08-24 15:02:32
10,501,14,2023-08-24 15:02:32
11,323,14,2023-08-24 15:02:32
12,276,14,2023-08-24 15:02:32
13,542,14,2023-08-24 15:02:32
14,2,14,2023-08-24 15:02:32
15,170,14,2023-08-24 15:02:32
1,758,14,2023-08-24 15:02:32
2,68,14,2023-08-24 15:02:32
3,31,14,2023-08-24 15:02:32
4,135,14,2023-08-24 15:02:32
5,122,14,2023-08-24 15:02:32
6,4,14,2023-08-24 15:02:32
7,720,14,2023-08-24 15:02:32
8,90,14,2023-08-24 15:02:32
9,887,14,2023-08-24 15:02:32
10,386,14,2023-08-24 15:02:32
11,703,14,2023-08-24 15:02:32
12,401,14,2023-08-24 15:02:32
13,825,14,2023-08-24 15:02:32
