id_dat,value,crep_id,create_date
1,341,1,2023-06-20 17:07:45.390819
2,255,1,2023-06-20 17:07:45.390819
3,251,1,2023-06-20 17:07:45.390819
4,335,1,2023-06-20 17:07:45.390819
5,348,1,2023-06-20 17:07:45.390819
6,287,1,2023-06-20 17:07:45.390819
7,348,1,2023-06-20 17:07:45.390819
8,323,1,2023-06-20 17:07:45.390819
9,392,1,2023-06-20 17:07:45.390819
10,374,1,2023-06-20 17:07:45.390819
11,334,1,2023-06-20 17:07:45.390819
12,329,1,2023-06-20 17:07:45.390819
13,389,1,2023-06-20 17:07:45.390819
14,363,1,2023-06-20 17:07:45.390819
15,324,1,2023-06-20 17:07:45.390819
1,320,2,2023-06-20 17:07:45.393809
2,383,2,2023-06-20 17:07:45.393809
3,366,2,2023-06-20 17:07:45.393809
4,344,2,2023-06-20 17:07:45.393809
5,284,2,2023-06-20 17:07:45.393809
6,272,2,2023-06-20 17:07:45.393809
7,290,2,2023-06-20 17:07:45.393809
8,325,2,2023-06-20 17:07:45.393809
9,350,2,2023-06-20 17:07:45.393809
10,287,2,2023-06-20 17:07:45.393809
11,324,2,2023-06-20 17:07:45.393809
12,294,2,2023-06-20 17:07:45.393809
13,301,2,2023-06-20 17:07:45.393809
14,328,2,2023-06-20 17:07:45.393809
15,356,2,2023-06-20 17:07:45.393809
1,301,3,2023-06-20 17:07:45.395802
2,304,3,2023-06-20 17:07:45.395802
3,282,3,2023-06-20 17:07:45.395802
4,294,3,2023-06-20 17:07:45.395802
5,294,3,2023-06-20 17:07:45.395802
6,380,3,2023-06-20 17:07:45.395802
7,356,3,2023-06-20 17:07:45.395802
8,256,3,2023-06-20 17:07:45.395802
9,379,3,2023-06-20 17:07:45.395802
10,349,3,2023-06-20 17:07:45.395802
11,377,3,2023-06-20 17:07:45.395802
12,262,3,2023-06-20 17:07:45.395802
13,298,3,2023-06-20 17:07:45.395802
14,312,3,2023-06-20 17:07:45.395802
15,343,3,2023-06-20 17:07:45.395802
1,282,4,2023-06-20 17:07:45.398793
2,295,4,2023-06-20 17:07:45.398793
3,318,4,2023-06-20 17:07:45.398793
4,328,4,2023-06-20 17:07:45.398793
5,388,4,2023-06-20 17:07:45.398793
6,299,4,2023-06-20 17:07:45.398793
7,366,4,2023-06-20 17:07:45.398793
8,396,4,2023-06-20 17:07:45.398793
9,261,4,2023-06-20 17:07:45.398793
10,368,4,2023-06-20 17:07:45.398793
11,291,4,2023-06-20 17:07:45.398793
12,374,4,2023-06-20 17:07:45.398793
13,303,4,2023-06-20 17:07:45.398793
14,260,4,2023-06-20 17:07:45.398793
15,378,4,2023-06-20 17:07:45.398793
1,369,5,2023-06-20 17:07:45.400785
2,317,5,2023-06-20 17:07:45.400785
3,370,5,2023-06-20 17:07:45.400785
4,375,5,2023-06-20 17:07:45.400785
5,382,5,2023-06-20 17:07:45.400785
6,375,5,2023-06-20 17:07:45.400785
7,370,5,2023-06-20 17:07:45.400785
8,275,5,2023-06-20 17:07:45.400785
9,308,5,2023-06-20 17:07:45.400785
10,305,5,2023-06-20 17:07:45.400785
11,289,5,2023-06-20 17:07:45.400785
12,329,5,2023-06-20 17:07:45.400785
13,308,5,2023-06-20 17:07:45.400785
14,300,5,2023-06-20 17:07:45.400785
15,358,5,2023-06-20 17:07:45.400785
1,288,6,2023-06-20 17:07:45.401778
2,251,6,2023-06-20 17:07:45.401778
3,349,6,2023-06-20 17:07:45.401778
4,382,6,2023-06-20 17:07:45.401778
5,332,6,2023-06-20 17:07:45.401778
6,384,6,2023-06-20 17:07:45.401778
7,391,6,2023-06-20 17:07:45.401778
8,334,6,2023-06-20 17:07:45.401778
9,376,6,2023-06-20 17:07:45.401778
10,259,6,2023-06-20 17:07:45.401778
11,268,6,2023-06-20 17:07:45.401778
12,264,6,2023-06-20 17:07:45.401778
13,256,6,2023-06-20 17:07:45.401778
14,328,6,2023-06-20 17:07:45.401778
15,325,6,2023-06-20 17:07:45.401778
1,311,7,2023-06-20 17:07:45.402775
2,329,7,2023-06-20 17:07:45.402775
3,278,7,2023-06-20 17:07:45.402775
4,322,7,2023-06-20 17:07:45.402775
5,295,7,2023-06-20 17:07:45.402775
6,261,7,2023-06-20 17:07:45.402775
7,354,7,2023-06-20 17:07:45.402775
8,385,7,2023-06-20 17:07:45.402775
9,262,7,2023-06-20 17:07:45.402775
10,303,7,2023-06-20 17:07:45.402775
11,307,7,2023-06-20 17:07:45.402775
12,366,7,2023-06-20 17:07:45.402775
13,324,7,2023-06-20 17:07:45.402775
14,313,7,2023-06-20 17:07:45.402775
15,390,7,2023-06-20 17:07:45.402775
1,320,8,2023-06-20 17:07:45.402775
2,273,8,2023-06-20 17:07:45.402775
3,399,8,2023-06-20 17:07:45.402775
4,310,8,2023-06-20 17:07:45.402775
5,363,8,2023-06-20 17:07:45.402775
6,295,8,2023-06-20 17:07:45.402775
7,288,8,2023-06-20 17:07:45.402775
8,357,8,2023-06-20 17:07:45.402775
9,259,8,2023-06-20 17:07:45.402775
10,332,8,2023-06-20 17:07:45.402775
11,348,8,2023-06-20 17:07:45.402775
12,387,8,2023-06-20 17:07:45.402775
13,292,8,2023-06-20 17:07:45.402775
14,312,8,2023-06-20 17:07:45.402775
15,357,8,2023-06-20 17:07:45.402775
1,277,9,2023-06-20 17:07:45.403772
2,325,9,2023-06-20 17:07:45.403772
3,366,9,2023-06-20 17:07:45.403772
4,280,9,2023-06-20 17:07:45.403772
5,299,9,2023-06-20 17:07:45.403772
6,378,9,2023-06-20 17:07:45.403772
7,350,9,2023-06-20 17:07:45.403772
8,389,9,2023-06-20 17:07:45.403772
9,285,9,2023-06-20 17:07:45.403772
10,284,9,2023-06-20 17:07:45.403772
11,318,9,2023-06-20 17:07:45.403772
12,299,9,2023-06-20 17:07:45.403772
13,381,9,2023-06-20 17:07:45.403772
14,395,9,2023-06-20 17:07:45.403772
15,306,9,2023-06-20 17:07:45.403772
1,339,10,2023-06-20 17:07:45.403772
2,379,10,2023-06-20 17:07:45.403772
3,334,10,2023-06-20 17:07:45.403772
4,388,10,2023-06-20 17:07:45.403772
5,397,10,2023-06-20 17:07:45.403772
6,357,10,2023-06-20 17:07:45.403772
7,355,10,2023-06-20 17:07:45.403772
8,285,10,2023-06-20 17:07:45.403772
9,382,10,2023-06-20 17:07:45.403772
10,276,10,2023-06-20 17:07:45.403772
11,334,10,2023-06-20 17:07:45.403772
12,392,10,2023-06-20 17:07:45.403772
13,278,10,2023-06-20 17:07:45.403772
14,393,10,2023-06-20 17:07:45.403772
15,302,10,2023-06-20 17:07:45.403772
1,368,11,2023-06-20 17:07:45.404769
2,363,11,2023-06-20 17:07:45.404769
3,303,11,2023-06-20 17:07:45.404769
4,262,11,2023-06-20 17:07:45.404769
5,283,11,2023-06-20 17:07:45.404769
6,362,11,2023-06-20 17:07:45.404769
7,332,11,2023-06-20 17:07:45.404769
8,339,11,2023-06-20 17:07:45.404769
9,267,11,2023-06-20 17:07:45.404769
10,303,11,2023-06-20 17:07:45.404769
11,314,11,2023-06-20 17:07:45.404769
12,373,11,2023-06-20 17:07:45.404769
13,305,11,2023-06-20 17:07:45.404769
14,253,11,2023-06-20 17:07:45.404769
15,340,11,2023-06-20 17:07:45.404769
1,313,12,2023-06-20 17:07:45.404769
2,258,12,2023-06-20 17:07:45.404769
3,349,12,2023-06-20 17:07:45.404769
4,266,12,2023-06-20 17:07:45.404769
5,399,12,2023-06-20 17:07:45.404769
6,280,12,2023-06-20 17:07:45.404769
7,317,12,2023-06-20 17:07:45.404769
8,356,12,2023-06-20 17:07:45.404769
9,313,12,2023-06-20 17:07:45.404769
10,313,12,2023-06-20 17:07:45.404769
11,387,12,2023-06-20 17:07:45.404769
12,294,12,2023-06-20 17:07:45.404769
13,261,12,2023-06-20 17:07:45.404769
14,329,12,2023-06-20 17:07:45.404769
15,311,12,2023-06-20 17:07:45.404769
1,353,13,2023-06-20 17:07:45.405765
2,291,13,2023-06-20 17:07:45.405765
3,270,13,2023-06-20 17:07:45.405765
4,370,13,2023-06-20 17:07:45.405765
5,324,13,2023-06-20 17:07:45.405765
6,298,13,2023-06-20 17:07:45.405765
7,381,13,2023-06-20 17:07:45.405765
8,301,13,2023-06-20 17:07:45.405765
9,346,13,2023-06-20 17:07:45.405765
10,308,13,2023-06-20 17:07:45.405765
11,330,13,2023-06-20 17:07:45.405765
12,364,13,2023-06-20 17:07:45.405765
13,267,13,2023-06-20 17:07:45.405765
14,374,13,2023-06-20 17:07:45.405765
15,345,13,2023-06-20 17:07:45.405765
1,385,14,2023-06-20 17:07:45.405765
2,272,14,2023-06-20 17:07:45.405765
3,369,14,2023-06-20 17:07:45.405765
4,345,14,2023-06-20 17:07:45.405765
5,308,14,2023-06-20 17:07:45.405765
6,391,14,2023-06-20 17:07:45.405765
7,357,14,2023-06-20 17:07:45.405765
8,262,14,2023-06-20 17:07:45.405765
9,293,14,2023-06-20 17:07:45.405765
10,277,14,2023-06-20 17:07:45.405765
11,370,14,2023-06-20 17:07:45.405765
12,297,14,2023-06-20 17:07:45.405765
13,364,14,2023-06-20 17:07:45.405765
14,342,14,2023-06-20 17:07:45.405765
15,346,14,2023-06-20 17:07:45.405765
1,398,15,2023-06-20 17:07:45.406762
2,274,15,2023-06-20 17:07:45.406762
3,310,15,2023-06-20 17:07:45.406762
4,369,15,2023-06-20 17:07:45.406762
5,376,15,2023-06-20 17:07:45.406762
6,380,15,2023-06-20 17:07:45.406762
7,321,15,2023-06-20 17:07:45.406762
8,318,15,2023-06-20 17:07:45.406762
9,338,15,2023-06-20 17:07:45.406762
10,302,15,2023-06-20 17:07:45.406762
11,380,15,2023-06-20 17:07:45.406762
12,317,15,2023-06-20 17:07:45.406762
