id_dat,value,crep_id
1,526,1
2,264,1
3,400,1
4,222,1
5,234,1
6,59,1
7,183,1
8,151,1
9,413,1
10,244,1
11,557,1
12,59,1
13,447,1
14,199,1
15,478,1
1,12,2
2,429,2
3,271,2
4,562,2
5,101,2
6,279,2
7,509,2
8,347,2
9,593,2
10,58,2
11,294,2
12,390,2
13,236,2
14,168,2
15,517,2
1,14,3
2,123,3
3,76,3
4,217,3
5,524,3
6,277,3
7,561,3
8,113,3
9,567,3
10,75,3
11,576,3
12,485,3
13,61,3
14,348,3
15,192,3
1,18,4
2,128,4
3,592,4
4,492,4
5,494,4
6,404,4
7,424,4
8,280,4
9,30,4
10,545,4
11,374,4
12,17,4
13,108,4
14,190,4
15,56,4
1,450,5
2,218,5
3,166,5
4,89,5
5,582,5
6,454,5
7,210,5
8,145,5
9,271,5
10,132,5
11,501,5
12,443,5
13,447,5
14,207,5
15,471,5
1,513,6
2,469,6
3,598,6
4,326,6
5,569,6
6,139,6
7,264,6
8,501,6
9,296,6
10,401,6
11,355,6
12,167,6
13,156,6
14,352,6
15,259,6
1,480,7
2,260,7
3,598,7
4,553,7
5,69,7
6,545,7
7,564,7
8,290,7
9,420,7
10,257,7
11,137,7
12,98,7
13,595,7
14,357,7
15,93,7
1,85,8
2,40,8
3,556,8
4,576,8
5,550,8
6,70,8
7,475,8
8,589,8
9,156,8
10,78,8
11,55,8
12,533,8
13,485,8
14,150,8
15,290,8
1,114,9
2,520,9
3,553,9
4,265,9
5,567,9
6,355,9
7,89,9
8,448,9
9,268,9
10,210,9
11,239,9
12,159,9
13,501,9
14,569,9
15,188,9
1,278,10
2,433,10
3,329,10
4,465,10
5,552,10
6,368,10
7,237,10
8,394,10
9,444,10
10,4,10
11,276,10
12,95,10
13,206,10
14,35,10
15,146,10
1,264,11
2,462,11
3,446,11
4,39,11
5,72,11
6,593,11
7,564,11
8,201,11
9,302,11
10,22,11
11,214,11
12,568,11
13,519,11
14,50,11
15,411,11
1,100,12
2,436,12
3,358,12
4,316,12
5,44,12
6,405,12
7,36,12
8,12,12
9,427,12
10,285,12
11,421,12
12,408,12
13,375,12
14,368,12
15,282,12
1,483,13
2,402,13
3,384,13
4,408,13
5,501,13
6,161,13
7,1,13
8,504,13
9,177,13
10,439,13
11,26,13
12,310,13
13,565,13
14,47,13
15,146,13
1,114,14
2,378,14
3,474,14
4,187,14
5,500,14
6,591,14
7,469,14
8,79,14
9,49,14
10,388,14
11,46,14
12,287,14
13,290,14
14,363,14
15,325,14
1,144,15
2,50,15
3,114,15
4,230,15
5,240,15
6,519,15
7,568,15
8,433,15
9,403,15
10,395,15
11,361,15
12,552,15
13,133,15
14,381,15
15,51,15
1,83,16
2,397,16
3,518,16
4,491,16
5,315,16
6,569,16
7,152,16
8,500,16
9,40,16
10,217,16
11,34,16
12,45,16
13,588,16
14,314,16
15,580,16
1,154,17
2,409,17
3,333,17
4,557,17
5,400,17
6,462,17
7,511,17
8,397,17
9,316,17
10,311,17
11,263,17
12,496,17
13,290,17
14,447,17
15,137,17
1,298,18
2,569,18
3,94,18
4,296,18
5,31,18
6,24,18
7,107,18
8,339,18
9,364,18
10,366,18
11,275,18
12,379,18
13,351,18
14,372,18
15,461,18
1,26,19
2,213,19
3,580,19
4,252,19
5,346,19
6,337,19
7,550,19
8,410,19
9,361,19
10,472,19
11,260,19
12,521,19
13,280,19
14,454,19
15,30,19
1,47,20
2,33,20
3,25,20
4,93,20
5,74,20
6,41,20
7,89,20
8,17,20
9,74,20
10,52,20
11,18,20
12,68,20
13,60,20
14,21,20
15,0,20
1,274,1
2,127,1
3,183,1
4,59,1
5,250,1
6,272,1
7,85,1
8,142,1
9,564,1
10,499,1
11,450,1
12,56,1
13,4,1
14,398,1
15,562,1
1,376,2
2,369,2
3,542,2
4,461,2
5,360,2
6,194,2
7,539,2
8,269,2
9,517,2
10,382,2
11,165,2
12,160,2
13,149,2
14,535,2
15,129,2
1,360,3
2,106,3
3,146,3
4,122,3
5,224,3
6,567,3
7,211,3
8,206,3
9,57,3
10,187,3
11,97,3
12,565,3
13,23,3
14,423,3
15,150,3
1,59,4
2,175,4
3,84,4
4,314,4
5,556,4
6,158,4
7,243,4
8,306,4
9,593,4
10,538,4
11,432,4
12,45,4
13,357,4
14,33,4
15,259,4
1,399,5
2,538,5
3,470,5
4,238,5
5,155,5
6,111,5
7,183,5
8,274,5
9,498,5
10,300,5
11,474,5
12,556,5
13,298,5
14,351,5
15,226,5
1,417,6
2,228,6
3,472,6
4,579,6
5,266,6
6,153,6
7,193,6
8,256,6
9,69,6
10,550,6
11,15,6
12,130,6
13,224,6
14,452,6
15,524,6
1,78,7
2,570,7
3,80,7
4,357,7
5,164,7
6,74,7
7,49,7
8,192,7
9,267,7
10,215,7
11,309,7
12,128,7
13,574,7
14,499,7
15,116,7
1,351,8
2,36,8
3,101,8
4,425,8
5,137,8
6,38,8
7,492,8
8,483,8
9,150,8
10,570,8
11,168,8
12,309,8
13,471,8
14,180,8
15,190,8
1,380,9
2,388,9
3,505,9
4,227,9
5,149,9
6,87,9
7,320,9
8,477,9
9,266,9
10,546,9
11,187,9
12,537,9
13,97,9
14,326,9
15,216,9
1,97,10
2,338,10
3,579,10
4,395,10
5,349,10
6,35,10
7,375,10
8,431,10
9,258,10
10,154,10
11,356,10
12,164,10
13,531,10
14,256,10
15,314,10
1,327,11
2,174,11
3,596,11
4,402,11
5,435,11
6,415,11
7,502,11
8,271,11
9,122,11
10,391,11
11,332,11
12,508,11
13,330,11
14,30,11
15,590,11
1,208,12
2,358,12
3,598,12
4,530,12
5,488,12
6,438,12
7,51,12
8,185,12
9,289,12
10,287,12
11,467,12
12,560,12
13,480,12
14,344,12
15,174,12
1,263,13
2,111,13
3,528,13
4,373,13
5,272,13
6,532,13
7,496,13
8,52,13
9,2,13
10,8,13
11,401,13
12,348,13
13,336,13
14,230,13
15,384,13
1,474,14
2,280,14
3,534,14
4,483,14
5,204,14
6,120,14
7,208,14
8,420,14
9,578,14
10,358,14
11,351,14
12,59,14
13,105,14
14,189,14
15,596,14
1,317,15
2,337,15
3,2,15
4,242,15
5,33,15
6,512,15
7,535,15
8,451,15
9,317,15
10,277,15
11,349,15
12,297,15
13,223,15
14,241,15
15,227,15
1,377,16
2,174,16
3,596,16
4,259,16
5,453,16
6,299,16
7,8,16
8,256,16
9,541,16
10,162,16
11,368,16
12,210,16
13,275,16
14,230,16
15,0,16
1,29,17
2,133,17
3,54,17
4,191,17
5,215,17
6,68,17
7,414,17
8,597,17
9,5,17
10,488,17
11,523,17
12,398,17
13,401,17
14,207,17
15,23,17
1,198,18
2,204,18
3,332,18
4,573,18
5,540,18
6,15,18
7,288,18
8,442,18
9,435,18
10,482,18
11,453,18
12,519,18
13,241,18
14,433,18
15,56,18
1,488,19
2,522,19
3,372,19
4,26,19
5,406,19
6,490,19
7,34,19
8,409,19
9,76,19
10,432,19
11,385,19
12,107,19
13,159,19
14,233,19
15,221,19
1,47,20
2,33,20
3,25,20
4,93,20
5,74,20
6,41,20
7,89,20
8,17,20
9,74,20
10,52,20
11,18,20
12,68,20
13,60,20
14,21,20
15,0,20
1,305,1
2,330,1
3,488,1
4,277,1
5,456,1
6,210,1
7,176,1
8,591,1
9,133,1
10,546,1
11,568,1
12,248,1
13,117,1
14,365,1
15,357,1
1,578,2
2,407,2
3,454,2
4,441,2
5,487,2
6,320,2
7,344,2
8,333,2
9,525,2
10,434,2
11,509,2
12,155,2
13,385,2
14,165,2
15,1,2
1,458,3
2,167,3
3,4,3
4,89,3
5,250,3
6,268,3
7,136,3
